,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,score
0,N00001641,B,A,,C,C,B,,A,,C,D,B,A,B,A,C,B,D,A,C,A,A,B,,D,79
1,N00001642,B,,D,D,C,B,D,A,C,C,D,B,A,B,A,D,B,D,A,,A,,B,D,D,83
2,N00001643,B,A,D,D,C,B,D,A,C,C,C,B,,,A,C,,D,A,C,A,A,B,D,D,83
3,N00001644,C,A,D,D,C,B,D,A,,C,D,,A,B,D,C,B,D,A,,A,A,B,D,D,78
4,N00001645,B,A,D,D,C,B,D,A,,C,B,B,A,B,A,C,B,B,A,C,A,A,B,D,,82
5,N00001646,B,A,A,B,C,B,A,A,C,A,D,B,A,B,A,C,B,D,,C,A,A,B,D,D,76
6,N00001647,B,A,D,D,C,C,D,D,A,C,,B,A,A,A,C,,D,A,C,A,B,B,D,,63
7,N00001649,B,D,D,D,,B,D,A,C,C,D,B,D,B,A,C,,,,C,C,A,B,D,,65
8,N00001650,B,A,C,D,C,B,D,A,C,C,D,B,D,B,A,C,B,D,A,C,C,A,B,D,D,85
9,N00001651,B,A,D,D,C,B,,,,C,D,B,A,B,A,C,B,D,A,C,A,A,B,,D,84
10,N00001652,B,A,D,D,,B,D,,A,C,D,C,A,,A,C,B,D,A,,A,A,B,D,D,74
11,N00001653,B,A,B,D,D,D,D,A,C,A,D,B,B,B,A,C,,D,A,B,A,A,B,A,D,61
12,N00001654,D,A,D,D,C,B,,,C,C,D,B,C,A,,,B,D,A,C,A,A,B,,D,65
13,N00001655,B,A,D,D,C,B,A,D,A,C,D,B,A,A,B,C,B,D,A,,B,A,B,,D,62
14,N00001656,B,A,D,D,C,B,B,A,C,C,D,A,A,C,A,C,B,A,A,C,A,A,C,D,D,75
15,N00001657,B,A,D,D,C,C,D,A,C,C,A,B,A,B,A,C,B,D,A,C,A,A,A,,D,81
16,N00001658,B,A,D,D,C,B,D,C,C,,D,C,B,B,B,C,B,D,A,C,A,A,,D,D,72
17,N00001659,C,A,C,D,C,B,C,A,C,C,B,B,A,B,A,C,,D,,C,A,A,D,D,D,67
18,N00001660,B,A,D,D,C,B,D,C,C,C,D,B,A,B,A,,B,D,A,C,A,A,B,D,D,91
19,N00001661,B,,D,,C,B,D,A,C,C,D,B,A,B,C,,B,D,A,C,A,A,B,C,D,78
20,N00001662,B,,D,D,C,,D,D,C,C,C,B,A,B,A,C,B,D,A,C,A,A,B,D,B,77
21,N00001663,B,A,B,,C,,D,,C,C,,B,A,B,D,C,B,D,A,C,A,A,B,D,D,74
22,N00001664,B,A,,D,C,B,,,C,C,D,B,A,B,A,C,B,,A,C,A,,C,D,D,75
23,N00001665,A,A,D,D,C,B,D,A,C,B,D,B,D,B,A,C,,,D,C,,A,B,D,,64
24,N00001666,B,A,D,C,C,B,D,,C,D,B,B,,B,A,C,C,,A,,A,D,B,C,D,54
25,N00001667,B,A,,C,C,B,D,A,,C,D,,A,,A,C,B,D,A,,A,A,B,D,D,75
26,N00001668,B,A,D,D,,B,D,A,C,C,D,,C,B,A,,A,,A,C,A,A,B,D,D,74
27,N00001669,B,C,D,D,A,,A,A,C,C,D,B,A,B,A,C,B,D,A,,A,A,,C,B,63
28,N00001670,B,A,D,B,C,B,D,A,C,C,C,,A,B,A,C,B,A,A,C,B,A,,D,D,72
29,N00001671,B,A,D,B,C,D,,A,C,C,D,D,A,A,A,C,B,D,A,D,A,A,C,D,D,66
30,N00001672,,D,D,D,C,B,,A,C,C,D,B,A,B,A,C,B,D,A,A,B,A,B,D,,73
31,N00001673,B,A,D,D,,B,D,A,C,C,D,B,A,B,A,C,B,A,A,,A,A,B,D,A,82
32,N00001674,B,A,B,D,C,B,D,A,C,C,B,B,A,B,,C,D,D,A,C,D,A,A,D,D,71
33,N00001675,,A,,D,C,B,C,A,C,D,D,,,B,B,C,B,D,A,C,A,A,B,D,D,69
34,N00001676,A,A,D,D,C,B,D,A,C,C,D,B,A,D,,C,B,D,A,C,A,A,B,D,B,81
35,N00001677,B,,D,D,C,B,D,A,,C,D,B,A,B,A,C,B,D,A,C,A,A,B,D,D,92
36,N00001678,B,A,D,D,C,B,D,A,C,C,,B,,B,A,,B,D,A,C,A,A,B,D,D,88
37,N00001679,B,C,D,D,C,B,D,A,C,C,,B,A,B,A,C,B,D,B,C,A,A,B,D,,82
38,N00001680,B,A,D,D,D,,D,B,C,C,D,B,A,B,A,,B,D,A,C,A,C,B,,D,73
39,N00001681,B,A,,,C,,D,A,C,C,D,B,A,,A,B,,,A,C,,A,B,B,,58
40,N00001682,,A,A,,C,B,A,A,C,C,D,B,A,B,A,C,B,D,A,C,A,A,C,D,D,77
41,N00001683,B,A,D,D,C,B,D,A,C,C,D,,A,B,A,C,,D,C,C,A,A,B,C,D,82
42,N00001684,B,A,D,D,C,B,D,A,C,C,D,D,A,B,A,C,,D,A,,A,A,B,D,D,87
43,N00001685,B,A,D,D,,B,B,A,C,C,D,B,B,B,A,,B,D,A,C,A,A,B,D,D,82
44,N00001686,B,C,D,D,C,B,A,A,C,C,,B,A,B,A,C,A,D,A,C,A,A,B,D,D,81
45,N00001687,B,A,,D,C,D,D,A,,C,,C,A,B,A,,B,D,A,C,A,A,B,D,D,74
46,N00001688,B,A,D,D,C,,D,A,C,C,D,B,,,A,C,B,,A,C,A,A,B,D,D,84
47,N00001689,C,A,D,D,,B,D,C,C,C,D,B,A,B,A,C,B,D,A,C,D,A,,D,D,77
48,N00001690,B,A,D,D,C,B,D,A,C,B,D,,A,,A,C,B,D,A,,A,C,B,D,D,78
49,N00001691,B,A,,D,C,D,D,A,D,C,,A,A,C,A,C,B,D,,C,A,B,B,D,D,63
50,N00001692,B,,D,D,,B,D,A,,C,D,B,A,B,B,C,B,D,A,,A,A,B,D,,75
51,N00001693,B,,D,D,C,,D,A,A,C,D,,,,B,C,B,D,A,C,A,A,B,D,,66
52,N00001694,B,A,D,D,,,D,A,C,,D,B,A,B,A,C,B,D,A,C,,D,B,D,D,79
53,N00001695,,A,B,D,C,,D,A,C,,D,B,A,B,C,C,B,D,A,C,A,A,B,C,D,73
54,N00001696,,A,D,D,,D,D,A,,C,D,,A,B,A,C,B,D,A,C,A,A,B,D,,75
55,N00001697,B,,D,D,C,B,D,A,C,A,D,C,A,B,A,C,D,D,A,C,A,A,B,D,D,81
56,N00001698,B,C,B,D,C,B,D,,C,C,C,B,A,B,D,C,B,A,A,C,,A,B,D,D,67
57,N00001699,B,A,D,D,C,A,D,A,C,C,B,B,A,C,,C,B,D,A,C,A,A,B,D,D,81
58,N00001700,B,A,D,D,A,B,,A,C,C,D,B,A,B,A,C,B,D,A,C,A,A,B,D,D,91
59,N00001701,B,A,B,B,C,B,D,C,C,C,,B,A,B,A,C,B,D,A,C,,A,B,C,,68
60,N00001702,B,A,D,D,C,A,D,A,C,C,D,B,A,B,A,C,B,D,A,A,A,A,B,,D,86
61,N00001703,B,A,D,A,C,B,C,,C,C,A,B,A,B,A,C,,,A,C,A,A,B,D,D,73
62,N00001704,A,A,D,D,,C,,,C,B,D,,A,B,A,C,B,D,,C,A,A,A,D,D,60
63,N00001705,B,A,D,D,C,,A,A,A,C,D,C,,B,C,,,D,A,,A,A,,D,A,51
64,N00001706,B,A,C,D,C,B,B,,C,C,D,B,A,C,A,C,B,D,A,C,A,A,B,D,D,81
65,N00001707,B,A,D,D,C,A,D,A,C,C,D,,A,B,A,C,B,D,A,C,A,,B,D,D,87
66,N00001708,B,B,D,D,C,B,D,A,,C,D,B,,B,A,C,B,D,A,C,A,A,A,D,D,82
67,N00001709,B,A,D,D,,B,D,A,,C,D,B,A,B,C,C,B,D,A,C,A,A,B,D,D,87
68,N00001710,C,B,D,D,,B,D,A,C,C,D,B,A,,,C,,D,A,C,A,A,C,D,D,69
69,N00001711,B,A,D,D,,B,D,,C,A,A,B,B,B,A,C,B,D,A,C,A,A,B,D,D,77
70,N00001712,B,A,D,A,C,B,D,A,C,B,D,B,D,A,C,D,B,D,,C,C,A,,D,D,57
71,N00001713,B,A,D,D,C,B,D,A,C,,D,B,A,B,A,,,D,A,,,B,B,B,D,70
72,N00001714,,A,D,D,C,B,C,B,C,D,D,B,A,B,A,C,B,D,B,C,A,C,B,,D,67
73,N00001715,,A,C,D,C,B,D,A,C,C,D,B,A,B,,C,B,D,,B,A,,,D,D,70
74,N00001716,B,A,D,D,,B,D,A,C,C,D,B,A,B,A,,,,C,C,A,A,B,D,D,79
75,N00001717,B,A,A,D,C,C,D,A,B,C,,B,A,B,A,C,B,D,A,C,D,D,B,A,D,66
76,N00001718,B,A,D,D,C,B,,A,,C,D,B,A,B,A,C,B,D,A,C,A,A,B,A,D,87
77,N00001719,,B,D,D,C,B,D,A,C,C,D,B,A,B,A,D,D,D,D,C,A,,B,D,A,67
