,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,score
0,N00002142,B,A,D,A,C,B,D,A,C,C,D,B,A,B,,C,B,D,A,C,A,A,B,D,,87
1,N00002143,,A,A,D,C,B,,B,C,C,,B,A,D,,B,B,B,A,C,A,A,B,D,D,59
2,N00002144,B,A,C,D,C,B,D,A,C,C,D,B,A,B,A,,B,D,A,C,A,A,B,,D,87
3,N00002145,B,A,D,D,C,B,D,A,C,C,D,B,A,B,A,,D,D,A,C,A,A,B,D,B,86
4,N00002146,B,A,A,B,C,B,D,A,C,,C,B,,B,C,C,B,D,A,C,A,A,,D,D,68
5,N00002147,B,,D,D,B,B,D,A,C,C,D,B,A,B,A,C,B,D,A,C,A,A,B,,D,87
6,N00002148,B,A,D,D,C,D,D,B,C,C,D,C,A,B,D,C,B,A,A,C,A,A,D,D,D,70
7,N00002149,B,A,D,C,,B,D,A,C,C,D,B,D,B,A,C,B,,,A,A,A,B,D,D,73
8,N00002150,B,A,D,D,C,B,D,A,C,C,D,B,A,A,C,,B,D,A,C,A,,B,D,D,82
9,N00002151,B,A,D,,D,B,D,,C,C,D,B,B,B,A,D,B,D,C,C,A,A,B,D,D,72
10,N00002152,B,A,D,D,B,B,C,,A,C,D,D,A,B,A,C,B,D,A,C,B,A,B,D,D,71
11,N00002153,B,A,D,D,C,C,D,A,C,C,D,B,,B,A,C,C,D,A,,A,A,B,D,D,82
12,N00002154,B,A,,B,C,B,D,A,C,B,D,B,A,B,A,A,,D,A,C,D,A,B,D,D,72
13,N00002155,B,A,D,,,B,D,A,C,C,D,B,A,B,,C,,D,A,C,A,A,B,D,D,84
14,N00002156,B,A,D,,,B,D,A,C,C,D,B,A,B,A,,B,B,A,,A,C,B,A,D,69
15,N00002157,C,A,D,D,C,D,D,A,D,C,D,B,A,A,A,C,B,D,A,B,A,A,,D,D,71
16,N00002158,B,A,D,D,,A,D,A,C,,D,B,A,,A,C,B,D,A,A,A,A,,D,D,74
17,N00002159,B,A,,D,C,B,D,A,C,,C,B,,B,A,C,B,D,A,C,A,C,B,D,D,78
18,N00002160,B,A,,D,C,B,D,A,C,B,,B,A,B,A,B,B,,A,,B,A,B,D,D,69
19,N00002161,D,A,D,D,C,,D,A,C,C,B,B,A,B,A,C,B,D,A,C,A,B,,D,D,77
20,N00002162,B,A,D,D,C,D,D,A,C,C,D,B,A,B,,C,B,,A,C,C,A,B,D,,78
21,N00002163,,,D,C,C,B,D,A,C,C,D,B,,B,A,A,B,D,A,C,B,A,B,D,D,73
22,N00002164,B,A,D,B,C,B,D,C,C,C,D,B,A,B,B,C,B,C,A,D,B,A,B,A,D,65
23,N00002165,B,A,B,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,C,A,A,C,D,D,90
24,N00002166,B,C,D,D,C,B,B,A,C,C,D,B,B,B,A,C,B,D,A,,A,A,B,D,D,81
25,N00002167,B,A,C,D,C,B,D,A,C,C,D,B,A,,A,C,B,,A,B,,,B,D,D,74
26,N00002168,B,A,,,C,,,,C,,D,B,A,C,A,C,B,,A,C,,A,B,D,D,63
27,N00002169,D,,D,D,C,B,D,A,C,C,D,B,A,B,C,C,B,D,A,B,,A,B,B,D,72
28,N00002170,B,A,D,,A,B,D,A,C,C,D,B,A,,,,B,D,A,C,,A,B,,D,71
29,N00002171,B,A,D,C,C,B,D,A,,C,C,B,A,B,A,C,B,D,A,C,A,A,B,D,,82
30,N00002172,D,A,D,D,C,B,D,,C,C,,B,D,B,A,C,B,D,A,C,A,A,B,D,D,82
31,N00002173,B,,D,,,C,D,D,C,C,D,D,A,B,A,C,B,D,A,C,A,A,B,D,A,68
32,N00002174,B,A,D,D,C,B,D,A,C,C,D,B,A,B,,C,B,D,A,C,A,A,B,,D,92
33,N00002175,B,A,D,D,C,B,D,A,C,C,D,B,,,A,C,B,D,B,C,A,A,B,D,,83
34,N00002176,B,A,D,D,C,B,D,A,C,A,D,B,A,B,C,C,B,D,B,C,B,A,B,D,D,80
35,N00002177,B,A,D,D,C,B,D,A,C,D,D,C,A,B,A,C,B,D,A,C,A,A,B,D,D,90
36,N00002178,,A,D,D,C,B,D,A,C,B,D,B,,,A,C,B,A,A,C,A,A,B,D,D,78
37,N00002179,B,A,D,C,C,,D,A,C,C,B,B,A,,A,C,B,A,A,C,A,A,B,D,D,77
38,N00002180,B,,D,D,C,,D,A,,C,D,B,A,B,A,C,B,D,A,C,A,A,B,,D,84
39,N00002181,B,A,D,D,C,B,,A,C,C,D,B,A,B,C,C,B,D,A,,A,A,B,D,D,87
40,N00002182,B,A,D,D,D,C,D,A,C,,A,,A,B,A,D,B,D,A,C,A,B,B,D,B,62
41,N00002183,B,A,B,D,C,B,D,A,C,C,D,B,A,B,,C,B,D,A,D,A,A,B,D,D,86
42,N00002184,B,A,D,D,C,B,D,C,C,,D,B,A,D,C,C,B,D,A,C,A,A,B,D,,77
43,N00002185,D,A,D,A,C,B,D,A,C,C,D,B,A,,A,C,,D,A,D,,C,B,D,,64
44,N00002186,B,A,D,,C,B,D,A,C,C,A,B,A,B,D,C,B,D,D,C,A,A,B,B,D,76
45,N00002187,B,A,D,,A,B,D,,,C,D,B,A,B,A,C,B,D,A,C,A,A,D,D,D,78
46,N00002188,,A,D,,C,B,D,A,C,C,D,B,A,B,A,C,D,A,,C,A,A,B,,D,74
