,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,score
0,N00000641,B,A,D,,C,B,D,A,C,C,D,,A,B,A,C,B,D,A,C,A,A,B,D,D,92
1,N00000642,B,A,D,,,B,D,A,C,C,C,,,C,,C,,D,A,C,A,A,B,B,D,61
2,N00000643,B,A,D,D,C,B,A,A,C,C,D,B,D,B,A,C,C,D,A,C,B,D,B,D,D,75
3,N00000644,B,A,D,D,C,,D,A,B,C,D,B,,B,A,D,B,D,A,C,A,A,B,D,D,82
4,N00000645,B,,D,D,B,C,D,A,C,,D,B,A,,A,C,B,B,A,D,A,A,B,,D,64
5,N00000646,B,A,C,D,C,,D,A,C,,D,B,A,B,A,C,B,D,A,C,A,A,B,D,D,87
6,N00000647,B,A,D,,,B,D,D,C,C,D,B,A,B,A,C,D,D,A,C,A,A,B,C,D,77
7,N00000648,B,A,D,D,C,D,A,A,C,,D,B,A,B,A,C,A,D,A,C,A,A,D,D,D,76
8,N00000649,B,A,D,D,C,,B,A,C,C,D,B,A,B,A,C,B,D,A,C,A,A,D,D,D,86
9,N00000650,B,A,D,D,C,B,D,A,C,C,D,B,B,B,A,C,B,D,A,C,,A,B,D,D,91
10,N00000651,B,A,D,D,C,B,D,A,C,,,B,A,C,A,C,B,D,A,C,A,,B,D,D,83
11,N00000652,B,,,D,C,D,D,A,C,A,D,B,,B,A,C,B,D,A,C,,A,B,,D,70
12,N00000653,C,C,D,,C,,A,A,C,D,D,B,A,B,A,C,B,D,A,C,A,D,,D,D,63
13,N00000654,B,A,D,D,C,B,B,A,C,C,D,,A,D,A,C,B,D,A,C,A,A,C,D,D,81
14,N00000655,B,,,A,C,B,D,A,C,C,D,,D,B,A,C,B,D,A,C,C,A,B,B,D,68
15,N00000656,C,A,D,D,C,B,D,B,C,C,D,B,A,A,A,C,B,D,A,,A,A,B,D,D,81
16,N00000657,B,A,C,A,C,B,D,A,C,,B,B,D,B,A,C,A,D,A,C,A,A,B,C,D,66
17,N00000658,B,A,D,D,C,,D,A,C,C,D,B,A,B,C,C,,D,A,C,A,,,D,D,79
18,N00000659,B,A,D,D,C,B,D,A,C,C,D,B,B,B,A,C,B,,D,B,A,,A,,D,68
19,N00000660,B,,D,D,C,A,D,D,C,C,B,B,A,B,A,C,B,C,A,C,A,A,C,D,D,71
20,N00000661,B,A,D,D,,C,D,A,,,,B,A,B,B,D,,D,A,B,A,B,B,D,D,55
21,N00000662,,B,D,D,C,B,D,A,C,C,D,B,A,B,A,,B,A,A,C,A,,B,D,D,78
22,N00000663,B,A,D,D,C,B,C,A,C,C,D,B,A,B,A,A,,D,A,C,A,A,B,D,,82
23,N00000664,B,D,D,,C,,D,A,C,C,D,B,A,,A,,B,D,A,,A,,,D,D,67
24,N00000665,B,A,,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,C,A,A,,D,D,92
25,N00000666,,A,D,D,C,B,B,,C,C,D,B,A,B,A,C,A,D,A,C,A,A,B,D,D,82
26,N00000667,B,A,D,D,C,B,D,A,A,C,A,B,A,B,B,C,B,D,,C,A,A,,D,D,77
27,N00000668,B,A,D,B,C,C,C,A,C,C,D,B,D,B,A,D,C,D,A,B,A,A,B,D,D,65
