,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,score
0,N00000146,B,A,,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,C,C,A,A,B,D,A,86
1,N00000147,B,,D,C,,B,D,A,C,,D,B,A,B,B,C,B,D,A,C,A,A,B,D,D,78
2,N00000148,B,A,D,D,C,B,D,A,C,B,D,B,A,B,A,C,B,D,D,C,A,A,B,D,D,90
3,N00000149,B,A,D,D,C,B,B,A,C,C,A,B,,B,A,C,B,D,,C,A,A,B,,D,78
4,N00000150,B,A,D,D,,B,D,A,C,C,,B,C,B,D,C,B,,B,C,B,A,B,D,D,68
5,N00000151,B,,D,D,C,B,D,A,C,C,D,B,A,B,A,C,,D,A,C,A,,A,D,,79
6,N00000152,B,A,D,D,C,B,D,,C,C,D,B,A,B,A,C,B,D,A,C,A,,B,D,D,92
7,N00000153,,A,C,D,,B,D,A,C,C,D,B,A,B,,C,B,D,A,C,A,A,B,D,C,78
8,N00000154,,A,D,D,D,,D,A,B,,D,B,A,A,A,D,B,D,A,C,A,A,B,D,,64
9,N00000155,B,,D,D,C,B,D,A,C,A,D,B,,B,,C,B,C,A,C,A,A,B,D,D,78
10,N00000156,B,A,D,A,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,B,,A,C,D,D,81
11,N00000157,B,A,,D,C,B,D,A,C,,B,B,A,B,,C,,D,A,C,A,A,A,D,B,69
12,N00000158,B,A,C,D,C,D,A,A,C,C,D,B,A,B,B,,B,D,A,C,A,A,C,D,D,71
13,N00000159,B,A,C,D,D,B,D,C,,C,D,B,B,B,A,C,B,D,A,,A,A,B,D,D,72
14,N00000160,B,A,D,D,C,B,D,,B,C,D,B,C,A,,A,B,D,,C,C,D,B,D,D,58
15,N00000161,B,A,D,D,C,B,D,A,C,C,,B,A,B,A,C,B,D,A,,A,A,B,,D,88
16,N00000162,,A,,D,C,B,D,A,C,,D,A,A,B,,C,B,D,A,B,B,A,B,B,D,64
17,N00000163,B,A,,D,C,B,D,,,C,D,,A,C,A,,,D,A,,A,A,B,D,D,67
18,N00000164,A,A,D,D,,B,D,A,C,C,D,B,A,B,A,C,,,A,C,A,A,B,D,D,83
19,N00000165,B,A,D,B,C,B,C,A,C,C,D,,A,B,D,C,B,,A,C,,A,B,B,B,63
20,N00000166,B,A,D,D,C,B,D,A,B,C,D,B,A,B,A,A,B,D,A,D,A,A,,D,D,81
21,N00000167,D,A,D,D,C,B,C,A,C,C,D,B,A,B,A,C,B,D,A,C,A,B,B,,D,81
22,N00000168,B,A,C,B,,B,D,A,C,C,D,C,A,B,,C,B,D,A,C,A,A,B,D,D,77
23,N00000169,B,A,D,,C,B,A,A,C,C,D,B,A,B,A,C,B,D,A,C,A,,,D,D,83
24,N00000170,B,A,D,D,C,B,,A,C,C,D,B,A,B,D,C,B,,A,C,A,A,B,D,D,87
25,N00000171,B,A,A,D,C,B,,A,C,,D,B,A,C,B,,B,D,A,C,A,A,B,D,D,73
26,N00000172,B,A,D,,C,B,D,A,C,C,D,B,A,B,A,C,,D,,C,A,A,B,D,D,88
27,N00000173,,A,A,D,A,B,D,A,B,C,,D,A,,,C,B,D,C,C,C,A,B,B,B,44
28,N00000174,A,A,D,D,C,B,D,A,C,C,D,B,B,B,A,C,B,D,A,C,A,A,,D,D,86
29,N00000175,B,A,D,D,C,D,D,A,C,C,D,A,A,,A,C,B,D,A,,C,A,B,D,,73
30,N00000176,B,D,D,D,,,D,A,C,C,B,D,,B,A,,B,D,A,C,,A,B,D,D,65
31,N00000177,,A,D,D,C,C,D,A,A,C,D,B,D,B,,C,B,D,A,C,,,B,D,D,69
32,N00000178,B,A,D,D,C,B,C,B,C,C,D,B,A,B,A,C,B,D,A,,A,A,B,D,D,86
33,N00000179,B,A,A,A,C,B,D,A,D,C,,B,A,B,A,C,B,D,A,C,A,A,B,D,D,81
34,N00000180,B,A,D,B,C,B,D,B,C,C,D,B,A,B,A,C,B,D,A,,A,A,B,D,D,86
35,N00000181,,B,D,D,A,B,D,A,C,C,D,C,A,B,,,B,D,,C,A,A,B,D,D,69
36,N00000182,B,A,C,,C,B,D,A,C,C,D,B,,B,A,C,B,D,A,C,,A,,C,D,74
37,N00000183,B,A,D,D,C,B,D,A,C,C,D,C,A,,A,C,B,D,,C,A,,B,D,,79
38,N00000184,D,A,C,D,C,B,,A,C,A,B,D,A,B,A,C,B,D,D,C,A,A,B,D,D,66
39,N00000185,B,,D,D,C,B,D,A,C,C,D,,C,B,A,C,,D,A,C,,A,B,,B,70
40,N00000186,B,A,D,D,C,B,D,A,C,C,D,,,B,,C,B,B,,C,A,C,B,D,D,74
41,N00000187,B,A,C,D,C,B,D,A,C,C,D,A,A,B,D,C,A,,A,C,A,B,B,D,D,71
42,N00000188,D,A,D,D,C,B,D,,C,C,,B,A,B,,B,B,B,B,C,,D,B,,D,55
43,N00000189,B,A,D,D,C,B,D,A,C,C,D,B,A,B,,C,B,D,A,C,A,A,B,D,D,96
44,N00000190,B,A,D,,C,B,D,C,C,C,D,,,B,A,C,B,D,A,D,A,A,B,D,D,78
45,N00000191,B,A,B,A,C,B,C,A,C,C,D,B,A,B,A,C,B,D,A,C,A,B,B,,D,76
46,N00000192,B,A,D,D,C,B,D,A,C,D,D,B,A,B,A,,B,D,,C,A,A,B,D,D,87
47,N00000193,B,A,D,D,C,B,A,A,C,B,D,B,A,,A,C,B,D,A,C,A,C,,D,D,77
48,N00000194,B,A,,D,C,B,D,A,C,D,D,B,B,,,B,B,D,A,B,A,A,B,D,D,68
49,N00000195,B,A,B,,C,B,D,A,D,C,D,B,C,B,A,C,B,D,,C,A,A,B,A,D,72
50,N00000196,B,A,D,D,C,B,,,C,C,,C,A,B,A,C,B,D,C,B,A,A,B,D,D,73
51,N00000197,,A,D,D,,B,D,B,C,C,D,C,A,,,C,B,D,A,C,A,B,B,D,D,69
52,N00000198,B,A,D,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,,A,,B,D,,88
53,N00000199,B,,D,D,,B,D,A,C,C,D,B,A,B,C,C,B,D,A,C,A,A,B,D,D,87
54,N00000200,B,A,D,D,C,B,D,D,C,,D,B,A,B,B,C,B,D,A,D,,A,B,A,D,72
55,N00000201,B,A,D,D,C,B,D,A,C,C,D,B,D,B,,C,,D,,A,D,A,B,D,D,73
56,N00000202,B,A,D,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,C,A,A,B,D,D,100
57,N00000203,B,A,D,A,C,B,D,C,C,C,D,B,,B,A,C,B,D,A,C,A,A,B,D,D,86
58,N00000204,B,B,D,B,C,B,D,A,C,C,D,D,A,C,A,B,B,,A,C,B,C,B,D,D,61
59,N00000205,B,A,,D,,B,D,,C,A,D,B,A,B,A,A,D,D,A,C,A,A,B,D,D,73
60,N00000206,,A,D,D,C,B,D,B,C,C,D,C,A,B,A,D,B,D,,C,A,A,B,,D,73
61,N00000207,B,A,D,D,C,B,D,A,C,C,D,B,A,B,A,C,,D,A,C,A,A,B,,D,92
62,N00000208,B,A,D,D,C,B,D,,C,C,D,B,B,B,A,C,C,D,A,,A,B,B,D,,73
63,N00000209,B,A,D,D,C,B,D,A,C,C,D,,A,A,A,C,B,D,,A,B,A,B,D,D,77
64,N00000210,B,A,D,D,C,B,D,A,B,C,B,B,D,B,A,C,B,D,,C,A,A,B,,D,77
65,N00000211,B,A,B,D,,B,D,A,C,C,,,A,B,A,C,B,D,A,C,A,A,B,A,,74
66,N00000212,B,A,,D,C,B,D,,C,C,A,B,A,,A,C,B,D,A,C,A,A,B,D,D,83
67,N00000213,B,A,D,D,C,B,D,,C,C,,B,A,B,A,C,B,D,A,C,A,C,B,D,D,87
68,N00000214,B,A,D,D,C,B,D,,C,C,D,B,A,B,A,C,B,D,,C,A,D,B,D,D,87
69,N00000215,,A,D,A,C,B,,A,C,C,D,B,A,B,A,,D,D,A,C,A,D,,D,D,69
